timestamp,donor_id,scenario,blend_ratio,seed,denoise_strength,cfg_scale,ip_adapter_strength,controlnet_strength,output_filename,prompt
20241122_190438,aug_cla_2_gem_wo,random,0.71,934152064,0.642559724621232,6.408574093886813,0.6569832820446805,0.6592197173484335,aug_cla_2_gem_wo_rand71.png,"portrait of a 10 month old baby with distinctive facial features, candid expression, detailed facial features, natural daylight, high quality photograph, photorealistic"
20241122_190438,aug_cla_2_gem_wo,donor_dominant,0.8,1770116253,0.5861344864770045,6.954668371684033,0.6963751593219858,0.6126114798909734,aug_cla_2_gem_wo_donor80.png,"portrait of a 10 month old baby with distinctive facial features, neutral expression, detailed facial features, soft studio lighting, high quality photograph, photorealistic"
20241122_190438,aug_cla_2_gem_wo,balanced,0.5,3649923957,0.5300878685332688,5.250249798284937,0.6874565437579937,0.6097835436666865,aug_cla_2_gem_wo_blend50.png,"portrait of a 14 month old baby with distinctive facial features, gentle smile expression, detailed facial features, gentle window light, high quality photograph, photorealistic"
20241122_190438,aug_cla_2_gem_wo,me_dominant,0.8,3421932830,0.4174245503219491,4.234390586596961,0.7169403219855286,0.748417616681162,aug_cla_2_gem_wo_me80.png,"portrait of a 11 month old baby with distinctive facial features, happy expression, detailed facial features, natural daylight, high quality photograph, photorealistic"
20241122_190439,aug_cla_3_gem_wo,random,0.69,707367302,0.5205086499360054,4.497644893736985,0.7567583657690331,0.6609173423773732,aug_cla_3_gem_wo_rand69.png,"portrait of a 11 month old baby with distinctive facial features, attentive expression, detailed facial features, soft studio lighting, high quality photograph, photorealistic"
20241122_190439,aug_cla_3_gem_wo,donor_dominant,0.8,2496694266,0.6912101987406576,6.157073546068096,0.6236675042182394,0.793444673135404,aug_cla_3_gem_wo_donor80.png,"portrait of a 14 month old baby with distinctive facial features, peaceful expression, detailed facial features, soft studio lighting, high quality photograph, photorealistic"
20241122_190439,aug_cla_3_gem_wo,balanced,0.5,2301882318,0.5478408544048629,4.667168723336192,0.6657696191646564,0.7632426550529432,aug_cla_3_gem_wo_blend50.png,"portrait of a 10 month old baby with distinctive facial features, gentle smile expression, detailed facial features, professional portrait lighting, high quality photograph, photorealistic"
20241122_190439,aug_cla_3_gem_wo,me_dominant,0.8,648911197,0.52657962830468,6.103605137968771,0.6524414401818623,0.6711486019651047,aug_cla_3_gem_wo_me80.png,"portrait of a 14 month old baby with distinctive facial features, peaceful expression, detailed facial features, natural daylight, high quality photograph, photorealistic"
20241122_190440,aug_cla_4_gem_wo,random,0.35,1598023908,0.4869778761705292,5.913934509198725,0.7379438290073579,0.7123252477863785,aug_cla_4_gem_wo_rand35.png,"portrait of a 10 month old baby with distinctive facial features, neutral expression, detailed facial features, natural daylight, high quality photograph, photorealistic"
20241122_190440,aug_cla_4_gem_wo,donor_dominant,0.8,681213879,0.41081309635118096,6.182617838208532,0.7002253146784373,0.6568542006332287,aug_cla_4_gem_wo_donor80.png,"portrait of a 14 month old baby with distinctive facial features, peaceful expression, detailed facial features, professional portrait lighting, high quality photograph, photorealistic"
